Jugador,Minutos,Goles,Asistencias,GA_90
Agustin Rodriguez,1835,7,2,0.44141689373297005
Alejandro Gutierrez,380,0,0,0
Alexis Zapata,2258,4,4,0.31886625332152346
Andres Mehring,198,0,0,0
Andres Mosquera Marmolejo,8847,0,0,0
Andrey Estupiñan,1736,8,1,0.4665898617511521
Angelo Rodriguez,1111,3,4,0.5670567056705671
Antony Silva,1710,0,0,0
Carlos Moreno,1101,0,0,0
Carlos Sanchez,3680,2,1,0.0733695652173913
Christian Mafla,3902,6,1,0.16145566376217324
Christian Marrugo,1968,2,6,0.3658536585365854
Cuero Cuero,595,0,0,0
Dairon Mosquera,5898,1,2,0.04577822990844354
Daniel Moreno,680,0,1,0.1323529411764706
Daniel Torres,7624,4,3,0.08263378803777545
David Ramirez,2998,0,0,0
Diego Hernandez,1054,0,0,0
Edwar Lopez,3097,2,3,0.145301905069422
Edwin Herrera,2091,0,0,0
Elvis Perlaza,5065,1,5,0.10661401776900295
Emanuel Olivera,3862,1,0,0.023303987571206625
Enmerson Batalla,603,1,0,0.1492537313432836
Enrique Serje,226,0,0,0
Ever Valencia,1357,3,3,0.39793662490788506
Ewil Murillo,2056,3,0,0.13132295719844359
Fabian Sambueza,2457,3,3,0.21978021978021978
Fabian Viafara,3691,1,2,0.07315090761311298
Fabio Delgado,1079,0,0,0
Facundo Agüero,1519,0,0,0
Fernando Coniglio,486,0,0,0
Francisco Chaverra Angulo,2020,4,2,0.26732673267326734
Francisco Meza,978,0,0,0
Frank Castañeda,260,0,0,0
Geisson Perea,1577,1,0,0.05707038681039949
Harold Gomez,1220,2,2,0.29508196721311475
Harold Rivera,2792,2,3,0.16117478510028654
Harold Santiago Mosquera,4522,13,12,0.49756744803184433
Hugo Rodallega,10505,57,13,0.5997144217039505
Ivan Rojas,2994,1,2,0.09018036072144288
Ivan Scarpeta,4655,4,2,0.11600429645542427
Jeferson Rivas Tirado,718,2,1,0.3760445682451254
Jeison Angulo,1230,1,0,0.07317073170731707
Jerson Malagon,827,1,0,0.10882708585247883
Jersson Gonzalez,2996,8,6,0.4205607476635514
Jhon Duque Arias,327,0,0,0
Jhon Velasquez,524,0,0,0
Joaquin Sosa,588,0,0,0
Johan Torres,7487,4,5,0.10818752504340856
John Melendez,2985,1,1,0.06030150753768845
Jonathan Barboza,1534,3,0,0.1760104302477184
Jonathan Herrera,896,0,0,0
Jordy Monroy,1703,0,2,0.10569583088667057
Jose Aja,4235,3,2,0.10625737898465171
Jose Enamorado,2965,5,4,0.27318718381112983
Jose Erick Correa,294,1,1,0.6122448979591837
Jose Johan Silva,2620,0,0,0
Jose Ortiz,1516,2,0,0.11873350923482849
Juan Daniel Roa,464,0,0,0
Juan Espitia,1695,0,2,0.10619469026548672
Juan Pablo Zuluaga,2620,3,2,0.17175572519083968
Juan Pedroza,1460,1,5,0.3698630136986301
Julian Millan,6102,6,1,0.10324483775811209
Kelvin Osorio,259,0,1,0.3474903474903475
Kevin Cuesta,615,0,0,0
Kevin Londoño,644,0,1,0.13975155279503104
Kevin Mantilla,2289,1,1,0.07863695937090433
Leandro Castellanos,2420,0,0,0
Lucas Rios,246,0,1,0.3658536585365854
Marcelo Meli,370,0,0,0
Marcelo Ortiz,3124,2,3,0.1440460947503201
Marlon Balanta,249,0,0,0
Marlon Torres,858,0,1,0.1048951048951049
Mateo Garavito,667,0,0,0
Matias Mier,1974,5,6,0.5015197568389057
Neyder Moreno,2582,8,6,0.487993803253292
Omar Albornoz,1557,5,1,0.3468208092485549
Omar Fernandez Frasica,3500,4,9,0.3342857142857143
Ruben Manjarres,504,0,0,0
Santiago Tamayo,259,0,0,0
Tomas Molina,510,0,1,0.1764705882352941
Victor Moreno,3582,1,1,0.05025125628140704
Weimar Asprilla,404,0,0,0
Wilfrido de la Rosa Mendoza,2224,4,4,0.32374100719424465
Wilson Morelo,4518,22,3,0.49800796812749004
Yairo Moreno,326,0,1,0.27607361963190186
Yeicar Perlaza,929,1,1,0.193756727664155
Yeiler Goez,1044,1,2,0.25862068965517243
Yeison Moreno Murillo,893,4,1,0.503919372900336
Yilmar Velasquez,5930,4,3,0.10623946037099495
Yulian Anchico,548,0,0,0
